,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Lead_proteins
0,prerank,Striated Muscle Contraction,-0.9259259259259258,-1.652061485418761,0.004347826086956522,0.026158182138453407,0.012,3/3,14.04%,TMOD4;TMOD3;TMOD1,H0YKU1;H0YNJ8;P28289;P28289-2;Q5HYL6;Q9NYL9;Q9NZQ9;Q9NZQ9-2;H0YKU1;H0YNJ8;P28289;P28289-2;Q5HYL6;Q9NYL9;Q9NZQ9;Q9NZQ9-2;H0YKU1;H0YNJ8;P28289;P28289-2;Q5HYL6;Q9NYL9;Q9NZQ9;Q9NZQ9-2
1,prerank,Retinoid cycle disease events,0.9818181818181817,1.3750692979185195,0.011477761836441894,0.2975564700228283,0.467,2/2,5.26%,TTR;RBP4,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A0A0C4DGV7;P02753;Q5VY30
2,prerank,Diseases of the neuronal system,0.9818181818181817,1.3750692979185195,0.011477761836441894,0.2975564700228283,0.467,2/2,5.26%,TTR;RBP4,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A0A0C4DGV7;P02753;Q5VY30
3,prerank,Diseases associated with visual transduction,0.9818181818181817,1.3750692979185195,0.011477761836441894,0.2975564700228283,0.467,2/2,5.26%,TTR;RBP4,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A0A0C4DGV7;P02753;Q5VY30
4,prerank,The canonical retinoid cycle in rods (twilight vision),0.9818181818181817,1.3750692979185195,0.011477761836441894,0.2975564700228283,0.467,2/2,5.26%,TTR;RBP4,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A0A0C4DGV7;P02753;Q5VY30
5,prerank,Formation of the cornified envelope,-1.0,-1.3348984198645604,0.03409090909090909,0.618259534084904,0.604,1/1,3.51%,TGM5,A0A024R9P4;A0A024R9T4;A0A087WVS3;A0A087WVW4;A0A087WZC4;A2A299;A2A2A0;B2R7D1;B4DIT7;B4DPS8;B4DTN7;B4DU73;B4YUQ1;B4YUQ2;B4YUQ3;O43548;O43548-2;P21980;P21980-2;P21980-3;P49221;Q0II16;Q6DKH2;Q9H035;V9HWG3
6,prerank,Developmental Biology,-1.0,-1.3348984198645604,0.03409090909090909,0.618259534084904,0.604,1/1,3.51%,TGM5,A0A024R9P4;A0A024R9T4;A0A087WVS3;A0A087WVW4;A0A087WZC4;A2A299;A2A2A0;B2R7D1;B4DIT7;B4DPS8;B4DTN7;B4DU73;B4YUQ1;B4YUQ2;B4YUQ3;O43548;O43548-2;P21980;P21980-2;P21980-3;P49221;Q0II16;Q6DKH2;Q9H035;V9HWG3
7,prerank,Keratinization,-1.0,-1.3348984198645604,0.03409090909090909,0.618259534084904,0.604,1/1,3.51%,TGM5,A0A024R9P4;A0A024R9T4;A0A087WVS3;A0A087WVW4;A0A087WZC4;A2A299;A2A2A0;B2R7D1;B4DIT7;B4DPS8;B4DTN7;B4DU73;B4YUQ1;B4YUQ2;B4YUQ3;O43548;O43548-2;P21980;P21980-2;P21980-3;P49221;Q0II16;Q6DKH2;Q9H035;V9HWG3
8,prerank,Alanine metabolism,-0.8181818181818181,-1.3113804473754558,0.1162079510703364,1.0,0.834,2/2,22.81%,GPT;GPT2,A0A024R6R2;B3KR40;B4DPT5;B4E1C6;P24298;Q8TD30;Q8TD30-2;A0A024R6R2;B3KR40;B4DPT5;B4E1C6;P24298;Q8TD30;Q8TD30-2
9,prerank,Metabolism of proteins,0.7513350961924542,1.3087933367653677,0.05070993914807302,1.0,0.866,7/11,26.32%,TTR;TSPAN14;SERPIND1;ITIH2;AHSG;APOA1;KNG1,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A6NEP9;H7BXY6;Q8N2P5;Q8NG11;Q8NG11-2;Q8NG11-3;P05546;Q8IVC0;A0A087WTE1;A2RTY6;B4DM79;D3DRR6;P19823;Q5T985;Q5T987;B7Z8Q2;C9JV77;P02765;A0A024R3E3;F8W696;P02647;Q8TDB0;Q9Y355;B4DPP8;D3DNU8;P01042-2;P01042-3;Q05CF8
10,prerank,Non-integrin membrane-ECM interactions,1.0,1.3077718259562083,0.022132796780684104,0.976054057030718,0.868,1/1,1.75%,TTR,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2
11,prerank,Molecules associated with elastic fibres,0.982142857142857,1.3053340337137673,0.056338028169014086,0.7809684008170131,0.885,1/1,3.51%,MFAP4,A0A024QZ34;K7ES70;P55083;P55083-2
12,prerank,Elastic fibre formation,0.982142857142857,1.3053340337137673,0.056338028169014086,0.7809684008170131,0.885,1/1,3.51%,MFAP4,A0A024QZ34;K7ES70;P55083;P55083-2
13,prerank,Retinoid metabolism disease events,0.9642857142857143,1.2667314230208833,0.10766045548654245,1.0,0.984,1/1,5.26%,RBP4,A0A0C4DGV7;P02753;Q5VY30
14,prerank,Metabolism of vitamins and cofactors,0.830470911267932,1.2607549737813903,0.1111111111111111,1.0,0.99,2/4,5.26%,TTR;RBP4,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A0A0C4DGV7;P02753;Q5VY30
15,prerank,Formation of the Editosome,-0.9464285714285714,-1.258971736705094,0.1232876712328767,1.0,0.974,1/1,8.77%,APOBEC2,B4DUL0;Q9Y235
16,prerank,mRNA Editing: C to U Conversion,-0.9464285714285714,-1.258971736705094,0.1232876712328767,1.0,0.974,1/1,8.77%,APOBEC2,B4DUL0;Q9Y235
17,prerank,mRNA Editing,-0.9464285714285714,-1.258971736705094,0.1232876712328767,1.0,0.974,1/1,8.77%,APOBEC2,B4DUL0;Q9Y235
18,prerank,Retinoid metabolism and transport,0.8440993481875336,1.2434787512931913,0.13032581453634084,1.0,0.995,2/3,5.26%,TTR;RBP4,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A0A0C4DGV7;P02753;Q5VY30
19,prerank,Sensory Perception,0.8440993481875336,1.2434787512931913,0.13032581453634084,1.0,0.995,2/3,5.26%,TTR;RBP4,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A0A0C4DGV7;P02753;Q5VY30
20,prerank,Metabolism of fat-soluble vitamins,0.8440993481875336,1.2434787512931913,0.13032581453634084,1.0,0.995,2/3,5.26%,TTR;RBP4,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A0A0C4DGV7;P02753;Q5VY30
21,prerank,Visual phototransduction,0.8440993481875336,1.2434787512931913,0.13032581453634084,1.0,0.995,2/3,5.26%,TTR;RBP4,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A0A0C4DGV7;P02753;Q5VY30
22,prerank,Hemostasis,0.7051583015604372,1.2305471422995866,0.11280487804878049,1.0,1.0,10/11,40.35%,CLEC3B;CLU;SERPIND1;AHSG;APOA1;KNG1;A1BG;A2M;SERPING1;ITIH4,A0A024R2Q7;E9PHK0;P05452;B4DW11;E5RG36;E5RGB0;E5RH61;E5RJZ5;E7ERK6;E7ETB4;H0YAS8;H0YC35;H0YLK8;P10909;P10909-2;P10909-3;P10909-4;P10909-5;Q6LDQ3;Q8IWL5;Q8IWM0;P05546;Q8IVC0;B7Z8Q2;C9JV77;P02765;A0A024R3E3;F8W696;P02647;Q8TDB0;Q9Y355;B4DPP8;D3DNU8;P01042-2;P01042-3;Q05CF8;B3KP79;B3KWB5;M0R009;P04217;P04217-2;Q7Z3U3;V9HWD8;B2R950;B7Z7M2;F8W7L3;H0YFH1;P01023;P20742;P20742-2;Q9BQ22;A0A0S2Z333;E9KL26;E9PGN7;H0YCA1;H9KV48;P05155;P05155-2;P05155-3;Q5UGI6;B2RMS9;B7Z544;B7Z551;B7Z8Q7;B7ZKJ8;H7C0L5;Q14624;Q14624-2;Q14624-3;Q14624-4;Q68DH2
23,prerank,Metabolism,0.6759243636351248,1.2192373964128098,0.10020040080160321,1.0,1.0,7/18,28.07%,TTR;RBP4;PRELP;GATM;DDAH1;APOA1;LUM,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A0A0C4DGV7;P02753;Q5VY30;P51888;Q6FHG6;Q7Z4B2;A0A024R5Q4;H0YKW9;H0YLC6;H0YMX4;H0YN43;P50440;P50440-2;P50440-3;B1AKK2;B4DYP1;B4E3V1;O94760;O94760-2;A0A024R3E3;F8W696;P02647;Q8TDB0;Q9Y355;P51884;Q53FV4
24,prerank,RHOBTB GTPase Cycle,-0.9107142857142857,-1.2096153846153836,0.21621621621621623,1.0,0.996,1/1,12.28%,TMOD3,H0YKU1;H0YNJ8;P28289;P28289-2;Q5HYL6;Q9NYL9;Q9NZQ9;Q9NZQ9-2
25,prerank,RND3 GTPase cycle,-0.9107142857142857,-1.2096153846153836,0.21621621621621623,1.0,0.996,1/1,12.28%,TMOD3,H0YKU1;H0YNJ8;P28289;P28289-2;Q5HYL6;Q9NYL9;Q9NZQ9;Q9NZQ9-2
26,prerank,RHOBTB2 GTPase cycle,-0.9107142857142857,-1.2096153846153836,0.21621621621621623,1.0,0.996,1/1,12.28%,TMOD3,H0YKU1;H0YNJ8;P28289;P28289-2;Q5HYL6;Q9NYL9;Q9NZQ9;Q9NZQ9-2
27,prerank,"Platelet activation, signaling and aggregation",0.7083333333333334,1.2074844807254872,0.13786008230452676,1.0,1.0,9/9,40.35%,CLEC3B;CLU;AHSG;APOA1;KNG1;A1BG;A2M;SERPING1;ITIH4,A0A024R2Q7;E9PHK0;P05452;B4DW11;E5RG36;E5RGB0;E5RH61;E5RJZ5;E7ERK6;E7ETB4;H0YAS8;H0YC35;H0YLK8;P10909;P10909-2;P10909-3;P10909-4;P10909-5;Q6LDQ3;Q8IWL5;Q8IWM0;B7Z8Q2;C9JV77;P02765;A0A024R3E3;F8W696;P02647;Q8TDB0;Q9Y355;B4DPP8;D3DNU8;P01042-2;P01042-3;Q05CF8;B3KP79;B3KWB5;M0R009;P04217;P04217-2;Q7Z3U3;V9HWD8;B2R950;B7Z7M2;F8W7L3;H0YFH1;P01023;P20742;P20742-2;Q9BQ22;A0A0S2Z333;E9KL26;E9PGN7;H0YCA1;H9KV48;P05155;P05155-2;P05155-3;Q5UGI6;B2RMS9;B7Z544;B7Z551;B7Z8Q7;B7ZKJ8;H7C0L5;Q14624;Q14624-2;Q14624-3;Q14624-4;Q68DH2
28,prerank,Platelet degranulation,0.7083333333333334,1.2074844807254872,0.13786008230452676,1.0,1.0,9/9,40.35%,CLEC3B;CLU;AHSG;APOA1;KNG1;A1BG;A2M;SERPING1;ITIH4,A0A024R2Q7;E9PHK0;P05452;B4DW11;E5RG36;E5RGB0;E5RH61;E5RJZ5;E7ERK6;E7ETB4;H0YAS8;H0YC35;H0YLK8;P10909;P10909-2;P10909-3;P10909-4;P10909-5;Q6LDQ3;Q8IWL5;Q8IWM0;B7Z8Q2;C9JV77;P02765;A0A024R3E3;F8W696;P02647;Q8TDB0;Q9Y355;B4DPP8;D3DNU8;P01042-2;P01042-3;Q05CF8;B3KP79;B3KWB5;M0R009;P04217;P04217-2;Q7Z3U3;V9HWD8;B2R950;B7Z7M2;F8W7L3;H0YFH1;P01023;P20742;P20742-2;Q9BQ22;A0A0S2Z333;E9KL26;E9PGN7;H0YCA1;H9KV48;P05155;P05155-2;P05155-3;Q5UGI6;B2RMS9;B7Z544;B7Z551;B7Z8Q7;B7ZKJ8;H7C0L5;Q14624;Q14624-2;Q14624-3;Q14624-4;Q68DH2
29,prerank,Response to elevated platelet cytosolic Ca2+,0.7083333333333334,1.2074844807254872,0.13786008230452676,1.0,1.0,9/9,40.35%,CLEC3B;CLU;AHSG;APOA1;KNG1;A1BG;A2M;SERPING1;ITIH4,A0A024R2Q7;E9PHK0;P05452;B4DW11;E5RG36;E5RGB0;E5RH61;E5RJZ5;E7ERK6;E7ETB4;H0YAS8;H0YC35;H0YLK8;P10909;P10909-2;P10909-3;P10909-4;P10909-5;Q6LDQ3;Q8IWL5;Q8IWM0;B7Z8Q2;C9JV77;P02765;A0A024R3E3;F8W696;P02647;Q8TDB0;Q9Y355;B4DPP8;D3DNU8;P01042-2;P01042-3;Q05CF8;B3KP79;B3KWB5;M0R009;P04217;P04217-2;Q7Z3U3;V9HWD8;B2R950;B7Z7M2;F8W7L3;H0YFH1;P01023;P20742;P20742-2;Q9BQ22;A0A0S2Z333;E9KL26;E9PGN7;H0YCA1;H9KV48;P05155;P05155-2;P05155-3;Q5UGI6;B2RMS9;B7Z544;B7Z551;B7Z8Q7;B7ZKJ8;H7C0L5;Q14624;Q14624-2;Q14624-3;Q14624-4;Q68DH2
30,prerank,Extracellular matrix organization,0.75,1.193167356071235,0.1728395061728395,1.0,1.0,5/5,31.58%,TTR;MFAP4;COL18A1;LUM;A2M,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A0A024QZ34;K7ES70;P55083;P55083-2;D3DSM4;D3DSM5;H7BXV5;H7C457;P39060;P39060-1;P39060-2;Q8NG19;P51884;Q53FV4;B2R950;B7Z7M2;F8W7L3;H0YFH1;P01023;P20742;P20742-2;Q9BQ22
31,prerank,Amyloid fiber formation,0.8044415769828186,1.185994181687244,0.2225031605562579,1.0,1.0,2/3,8.77%,TTR;TSPAN14,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A6NEP9;H7BXY6;Q8N2P5;Q8NG11;Q8NG11-2;Q8NG11-3
32,prerank,Antimicrobial peptides,0.8928571428571428,1.1813912533020252,0.2546583850931677,1.0,1.0,1/1,12.28%,CLU,B4DW11;E5RG36;E5RGB0;E5RH61;E5RJZ5;E7ERK6;E7ETB4;H0YAS8;H0YC35;H0YLK8;P10909;P10909-2;P10909-3;P10909-4;P10909-5;Q6LDQ3;Q8IWL5;Q8IWM0
33,prerank,Terminal pathway of complement,0.8928571428571428,1.1813912533020252,0.2546583850931677,1.0,1.0,1/1,12.28%,CLU,B4DW11;E5RG36;E5RGB0;E5RH61;E5RJZ5;E7ERK6;E7ETB4;H0YAS8;H0YC35;H0YLK8;P10909;P10909-2;P10909-3;P10909-4;P10909-5;Q6LDQ3;Q8IWL5;Q8IWM0
34,prerank,Viral Infection Pathways,-0.7454545454545454,-1.1760206520699865,0.23,1.0,0.998,2/2,29.82%,ATP6V1H;ATP1A1,A0A024R7U9;A0A024R7X3;A0A0D9SG68;B3KUZ7;B4E054;E5RG49;E5RHH0;E5RJG1;E5RK31;G3V126;Q8TF11;Q9UI12;Q9UI12-2;B7Z1N5;B7Z3V1;P05023;P05023-2;P05023-3;P05023-4;Q58I23;Q5TC01;Q5TC02
35,prerank,Disease,0.6813387947414352,1.1721328028341533,0.19390862944162437,1.0,1.0,3/10,7.02%,TTR;RBP4;PRELP,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A0A0C4DGV7;P02753;Q5VY30;P51888;Q6FHG6;Q7Z4B2
36,prerank,Common Pathway of Fibrin Clot Formation,0.875,1.169626914763651,0.26968503937007876,1.0,1.0,1/1,14.04%,SERPIND1,P05546;Q8IVC0
