Sample,Group,Batch,Individual
AD01_C1_INSOLUBLE_01,AD,C1,AD01_
AD01_C1_INSOLUBLE_02,AD,C1,AD01_
AD01_C1_INSOLUBLE_03,AD,C1,AD01_
AD01_C2_INSOLUBLE_01,AD,C2,AD01_
AD02_C1_INSOLUBLE_01,AD,C1,AD02_
AD02_C1_INSOLUBLE_02,AD,C1,AD02_
AD02_C2_INSOLUBLE_01,AD,C2,AD02_
AD03_C1_INSOLUBLE_01,AD,C1,AD03_
AD03_C1_INSOLUBLE_02,AD,C1,AD03_
AD03_C1_INSOLUBLE_03,AD,C1,AD03_
AD03_C2_INSOLUBLE_01,AD,C2,AD03_
AD04_C1_INSOLUBLE_01,AD,C1,AD04_
AD04_C2_INSOLUBLE_01,AD,C2,AD04_
AD05_C2_INSOLUBLE_01,AD,C2,AD05_
AD06_C1_INSOLUBLE_01,AD,C1,AD06_
AD07_C1_INSOLUBLE_01,AD,C1,AD07_
AD07_C1_INSOLUBLE_02,AD,C1,AD07_
AD07_C1_INSOLUBLE_03,AD,C1,AD07_
AD07_C2_INSOLUBLE_01,AD,C2,AD07_
AD08_C2_INSOLUBLE_01,AD,C2,AD08_
AD09_C1_INSOLUBLE_01,AD,C1,AD09_
AD10_C1_INSOLUBLE_01,AD,C1,AD10_
AD10_C2_INSOLUBLE_01,AD,C2,AD10_
AD11_C2_INSOLUBLE_01,AD,C2,AD11_
AD12_C2_INSOLUBLE_01,AD,C2,AD12_
AD13_C2_INSOLUBLE_01,AD,C2,AD13_
AD14_C2_INSOLUBLE_01,AD,C2,AD14_
AD15_C2_INSOLUBLE_01,AD,C2,AD15_
AD16_C2_INSOLUBLE_01,AD,C2,AD16_
AD17_C2_INSOLUBLE_01,AD,C2,AD17_
AD18_C2_INSOLUBLE_01,AD,C2,AD18_
AD19_C2_INSOLUBLE_01,AD,C2,AD19_
AD20_C1_INSOLUBLE_01,AD,C1,AD20_
AD21_C1_INSOLUBLE_01,AD,C1,AD21_
AD21_C2_INSOLUBLE_01,AD,C2,AD21_
AD22_C1_INSOLUBLE_01,AD,C1,AD22_
AD23_C1_INSOLUBLE_01,AD,C1,AD23_
AD23_C1_INSOLUBLE_02,AD,C1,AD23_
AD23_C2_INSOLUBLE_01,AD,C2,AD23_
AD24_C1_INSOLUBLE_01,AD,C1,AD24_
AD24_C1_INSOLUBLE_02,AD,C1,AD24_
AD25_C1_INSOLUBLE_01,AD,C1,AD25_
AD26_C1_INSOLUBLE_01,AD,C1,AD26_
AD27_C1_INSOLUBLE_01,AD,C1,AD27_
AD27_C1_INSOLUBLE_02,AD,C1,AD27_
AD28_C2_INSOLUBLE_01,AD,C2,AD28_
AD29_C1_INSOLUBLE_01,AD,C1,AD29_
AD30_C1_INSOLUBLE_01,AD,C1,AD30_
AD30_C1_INSOLUBLE_02,AD,C1,AD30_
AD30_C2_INSOLUBLE_01,AD,C2,AD30_
AD31_C2_INSOLUBLE_01,AD,C2,AD31_
AD32_C2_INSOLUBLE_01,AD,C2,AD32_
AD33_C2_INSOLUBLE_01,AD,C2,AD33_
AD34_C1_INSOLUBLE_01,AD,C1,AD34_
AD34_C1_INSOLUBLE_02,AD,C1,AD34_
AD35_C1_INSOLUBLE_01,AD,C1,AD35_
AD35_C1_INSOLUBLE_02,AD,C1,AD35_
AD36_C1_INSOLUBLE_01,AD,C1,AD36_
AD37_C1_INSOLUBLE_01,AD,C1,AD37_
AD37_C2_INSOLUBLE_01,AD,C2,AD37_
AD38_C1_INSOLUBLE_01,AD,C1,AD38_
AD38_C1_INSOLUBLE_02,AD,C1,AD38_
AD38_C1_INSOLUBLE_03,AD,C1,AD38_
AD39_C2_INSOLUBLE_01,AD,C2,AD39_
AD40_C2_INSOLUBLE_01,AD,C2,AD40_
AD41_C2_INSOLUBLE_01,AD,C2,AD41_
AD42_C2_INSOLUBLE_01,AD,C2,AD42_
AD43_C1_INSOLUBLE_01,AD,C1,AD43_
AD44_C1_INSOLUBLE_01,AD,C1,AD44_
AD44_C1_INSOLUBLE_02,AD,C1,AD44_
