,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Lead_proteins
0,gsea,Metabolism,0.6759243624994932,2.118367441902951,0.0,0.0,0.0,7/18,28.07%,TTR;RBP4;PRELP;GATM;DDAH1;APOA1;LUM,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A0A0C4DGV7;P02753;Q5VY30;P51888;Q6FHG6;Q7Z4B2;A0A024R5Q4;H0YKW9;H0YLC6;H0YMX4;H0YN43;P50440;P50440-2;P50440-3;B1AKK2;B4DYP1;B4E3V1;O94760;O94760-2;A0A024R3E3;F8W696;P02647;Q8TDB0;Q9Y355;P51884;Q53FV4
1,gsea,Disease,0.6813387939417906,1.6620842782209473,0.0,0.04030571338934012,0.054,3/10,7.02%,TTR;RBP4;PRELP,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A0A0C4DGV7;P02753;Q5VY30;P51888;Q6FHG6;Q7Z4B2
2,gsea,Metabolism of proteins,0.751335095629665,1.59634818589654,0.015817223198594025,0.07008110526254634,0.117,7/11,26.32%,TTR;TSPAN14;SERPIND1;ITIH2;AHSG;APOA1;KNG1,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A6NEP9;H7BXY6;Q8N2P5;Q8NG11;Q8NG11-2;Q8NG11-3;P05546;Q8IVC0;A0A087WTE1;A2RTY6;B4DM79;D3DRR6;P19823;Q5T985;Q5T987;B7Z8Q2;C9JV77;P02765;A0A024R3E3;F8W696;P02647;Q8TDB0;Q9Y355;B4DPP8;D3DNU8;P01042-2;P01042-3;Q05CF8
3,gsea,Metabolism of vitamins and cofactors,0.8304709109759859,1.5188134139793257,0.011023622047244094,0.13589561473838324,0.261,2/4,5.26%,TTR;RBP4,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A0A0C4DGV7;P02753;Q5VY30
4,gsea,Transport of small molecules,0.4835237697825389,1.402147573989645,0.05434782608695652,0.37473420016035136,0.597,4/6,47.37%,APOA1;A2M;CP;ATP2A2,A0A024R3E3;F8W696;P02647;Q8TDB0;Q9Y355;B2R950;B7Z7M2;F8W7L3;H0YFH1;P01023;P20742;P20742-2;Q9BQ22;A5PL27;A8K5A4;B3KTA8;B7Z5Q2;D6RE86;H7C5N5;P00450;Q1L857;Q6NSB2;P16615-2
5,gsea,Immune System,0.6204954098610945,1.3918894796235732,0.06957928802588997,0.2874310912359506,0.623,5/9,29.82%,TTR;TSPAN14;CLU;AHSG;A1BG,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A6NEP9;H7BXY6;Q8N2P5;Q8NG11;Q8NG11-2;Q8NG11-3;B4DW11;E5RG36;E5RGB0;E5RH61;E5RJZ5;E7ERK6;E7ETB4;H0YAS8;H0YC35;H0YLK8;P10909;P10909-2;P10909-3;P10909-4;P10909-5;Q6LDQ3;Q8IWL5;Q8IWM0;B7Z8Q2;C9JV77;P02765;B3KP79;B3KWB5;M0R009;P04217;P04217-2;Q7Z3U3;V9HWD8
6,gsea,Innate Immune System,0.6204954098610945,1.3918894796235732,0.06957928802588997,0.2874310912359506,0.623,5/9,29.82%,TTR;TSPAN14;CLU;AHSG;A1BG,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A6NEP9;H7BXY6;Q8N2P5;Q8NG11;Q8NG11-2;Q8NG11-3;B4DW11;E5RG36;E5RGB0;E5RH61;E5RJZ5;E7ERK6;E7ETB4;H0YAS8;H0YC35;H0YLK8;P10909;P10909-2;P10909-3;P10909-4;P10909-5;Q6LDQ3;Q8IWL5;Q8IWM0;B7Z8Q2;C9JV77;P02765;B3KP79;B3KWB5;M0R009;P04217;P04217-2;Q7Z3U3;V9HWD8
7,gsea,Metabolism of carbohydrates,0.6967110984247824,1.3058741966668301,0.16695352839931152,0.8626239673022623,0.868,2/3,28.07%,PRELP;LUM,P51888;Q6FHG6;Q7Z4B2;P51884;Q53FV4
8,gsea,Amyloid fiber formation,0.8044415768262154,1.2972535924954405,0.14982578397212543,0.8466620575328353,0.881,2/3,8.77%,TTR;TSPAN14,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A6NEP9;H7BXY6;Q8N2P5;Q8NG11;Q8NG11-2;Q8NG11-3
9,gsea,Cellular responses to stimuli,0.5892305999785369,1.2959222986898553,0.11586206896551725,0.7061917498264972,0.889,1/3,24.56%,APOA1,A0A024R3E3;F8W696;P02647;Q8TDB0;Q9Y355
10,gsea,Cellular responses to stress,0.5892305999785369,1.2959222986898553,0.11586206896551725,0.7061917498264972,0.889,1/3,24.56%,APOA1,A0A024R3E3;F8W696;P02647;Q8TDB0;Q9Y355
11,gsea,The canonical retinoid cycle in rods (twilight vision),0.9818181818181819,1.2787928016728831,0.09647495361781076,0.627098802012526,0.912,2/2,5.26%,TTR;RBP4,A0A087WT59;A0A087WV45;A6XGL1;A6XMH1;E9KL36;P02766;Q53WY6;Q8TDB2;A0A0C4DGV7;P02753;Q5VY30
